reach_id;h_hat;z0_hat;alpha_hat;alpha_tilde;beta_hat;delta_hat;offset_hat;factor_hat;dAbar;std_S;std_W;rel_std_S;rel_std_W;Wbar;Sbar;Qbar;R2;R2_2;valid;r_hat_alpha;r_hat_beta;r_hat_z0;r_hat_delta;r_hat_offset;r_hat_factor;ess_alpha;ess_beta;ess_z0;ess_delta;ess_offset;ess_factor;r2_param_hat;nse_param_hat;rmse_param_hat;nrmse_param_hat;mae_param_hat;bias_param_hat;r2_param_tilde;nse_param_tilde;rmse_param_tilde;nrmse_param_tilde;mae_param_tilde;bias_param_tilde;rel_std_Q
12440400051;5.62542061726872;207.939241624131;40.8527664908092;16.8471634787759;1.06447698070953;0.505431656259948;1.90368346971983;0.326247612214502;31.2333904133054;3.96939368329091e-05;56.4179247837994;0.0726670867737477;0.304615887765971;185.210053216738;0.0005462436791569;5.87193223158958;0.2;0.371428571428572;6;1.0;1.0;1.01;1.0;1.0;1.0;1239;1198;1149;3223;2659;4256;0.18868017636878948;-0.10524802147341883;33.1870860676703;1.8965140553746849;14.318396779394543;11.69080922007809;0.18868017636878961;-0.21540879570768046;34.80169816282632;1.9887829133936594;15.640926140137367;15.103771538280375;1.8039570470799124
12554000061;2.96394363821665;146.978210907238;44.6877309747035;15.9152566742507;1.2453141590591;0.505512548428615;-0.371923229432513;0.312563674047572;32.9528907400253;4.336808689942021e-19;29.2339963190949;1.81810903224427e-16;0.270464978267581;108.087917727273;0.0023853402700434;7.67071746101177;0.445454545454546;0.445454545454546;11;1.01;1.01;1.02;1.0;1.0;1.0;212;202;194;1200;1867;2718;0.5260622549981665;0.21060901854194292;3.6385037101910744;0.5421411200072495;3.021321699301137;-1.2416501349586249;0.5260622549981664;-0.7747997045557908;5.455711740841012;0.812907147883854;4.219975655587621;3.8789444284955876;0.6101916613503959
12556100051;2.14573646475133;27.9900362625214;50.9537060363726;12.6166716508934;2.07926649606674;0.499346209565458;2.58867759580255;0.328270456684179;15.7420201555703;2.1684043449710103e-19;22.9775126106668;1.13594884364925e-16;0.401661274301208;57.2061935785124;0.0019088926029494;11.9114261473811;0.690909090909091;0.690909090909091;11;1.01;1.02;1.03;1.0;1.0;1.0;329;244;204;1689;878;2210;0.360831374220638;-34.435139055867204;7.610123363830864;2.305388665121208;7.239710771676173;-7.239710771676173;0.360831374220638;0.06680485850678597;1.2349826626909366;0.37412206032303824;0.948362250711788;0.6910210844573988;0.3872817952814452
12590000091;4.13622606577031;55.9584655946668;55.8265770313748;40.3841726690956;2.67996208529903;0.498469845732332;1.77309404364426;0.426922431999906;97.5508041450254;7.8768804869164e-05;7.98939765124938;0.100902084958876;0.0741007134045926;107.818093567156;0.0007806459589141;86.786022893508;0.85;0.85;9;1.01;1.03;1.01;1.0;1.0;1.0;344;204;278;1128;4153;2279;0.9080154543296322;0.7258417557907543;49.09424023493772;0.9124188673701612;36.28339582702415;-7.914918568394665;0.9080154543296319;0.5778470641944571;60.92068743586071;1.132213969778122;36.29024994595109;9.158133488607767;1.7425835187091132
12710000161;11.6463721338626;28.0092247752849;47.5773983449639;28.7621212512604;1.40402722346917;0.503312193433669;-0.0297266008014878;0.263637450073123;114.931303662924;3.09504215187119e-05;17.727148922623;0.0320128311910374;0.108316892476411;163.66005816206;0.0009668130048858;39.0662186733178;0.705384615384615;0.702307692307692;25;1.1;1.17;1.07;1.02;1.0;1.01;30;19;73;229;586;834;0.3420119651470976;-0.2718775809885563;137.102932929874;1.218636815376909;81.9552360732285;68.0027109767797;0.3420119651470975;-0.47070238259521036;147.43021106529093;1.3104306309395068;88.52572280894299;85.60194896985041;1.0805668452071615
12730300031;6.55841656337905;161.63622504723;55.8962776690782;43.5761769880863;3.00652823301491;0.557737571095953;6.35925832509832;0.427215067942049;180.414106312544;0.0001675455899399;27.664396207421;0.492971182338131;0.125565616244026;220.318245033398;0.0003398689334035;192.145885591477;0.89068468997943;0.891424777701592;82;1.08;1.13;1.15;1.01;1.01;1.0;41;22;29;188;831;1070;0.08824418353942656;-1.624053069485734;109.19139274059698;1.1152521169190077;91.22388593593223;-61.82366289364507;0.08824418353942656;-0.5061027391266264;82.72359459993642;0.8449170001513114;64.68387006159311;-26.617341637188485;0.6884727402289386
12730300261;6.54173745768858;153.183357745326;51.9212135049459;39.1965087755434;2.39288028896819;0.507044801462095;0.0759538926170993;0.295402244038873;520.890096153708;0.0002408739224066;129.489580894663;0.42338974170858;0.384448722708301;336.818860997783;0.0005689177102746;104.601868851779;0.883333333333333;0.9;9;1.02;1.02;1.02;1.01;1.0;1.0;151;168;210;543;6356;2589;0.41643986314573833;0.264639455478905;85.80765646889233;0.846106083988385;63.48465714054909;9.342690291636606;0.4164398631457382;0.11787935735827915;93.98095879520176;0.9266989017991579;65.17687524487543;31.90745693723676;0.9866762073060075
12730700131;1.97914016355192;301.526748744272;63.2233126985657;56.6190992733652;4.01500746157756;0.505504879966763;-8.64760812412455;0.264145493677034;288.549588721954;0.0001115776463485;21.7989492349873;0.150790336154309;0.112231409053375;194.232162091274;0.0007399522356284;67.6719386606985;0.873626373626374;0.873626373626374;13;1.03;1.03;1.02;1.02;1.01;1.0;81;157;87;271;635;1110;0.46864525303255977;0.18734458747112648;108.03026959289488;0.9672525210931617;70.14904778617293;42.94902929584446;0.4686452530325596;0.21603359016481594;106.10625130169684;0.9500257609471048;68.41935899520485;50.12937533440186;1.0729677144054954
12730700171;6.46120703146831;350.98231072945;50.066506160693;34.3801184065435;1.87246380366359;0.501235299798803;-3.71905911809138;0.164939761965564;178.480804158656;4.35030277740804e-05;133.7564424585;0.052303669987907;0.487479095634516;274.383955448179;0.0008317394894878;64.7378335469843;0.66974358974359;0.665641025641026;26;1.27;1.28;1.12;1.11;1.0;1.0;11;11;28;31;2931;1685;0.3928000504000097;-0.13933203423139995;128.78888397541087;1.2112093319807409;75.08956547464018;58.427295412074706;0.3928000504000097;-0.3036727965645747;137.76456563482802;1.2956221248491848;79.21184326176892;73.43599786929984;1.134733964007043
12770901021;4.81554452418558;960.32158905238;64.0316450600787;28.3676327432181;2.63398086841856;0.491451002216345;-2.68781469290776;0.111627706584216;48.7260021948302;5.02401874499766e-06;5.61245945015993;0.0117507771160942;0.0322585139722951;173.983818813853;0.0004275477864452;88.9111735070686;0.321678321678322;0.321678321678322;12;1.08;1.24;1.19;1.03;1.0;1.0;41;14;19;196;7285;5042;0.5116676009515239;0.39816696939568275;72.28203272736675;0.7110291019791294;56.34108430256526;-1.8635773057398382;0.5116676009515234;-0.1465828299904437;99.76887257191726;0.981413626507247;67.16361946559054;55.79551697413667;0.9165356596113728
