reach_id;z0_hat;k_hat;k_tilde;A0_hat;offset_hat;factor_hat;dAbar;std_S;std_W;rel_std_S;rel_std_W;Wbar;Sbar;Qbar;R2;R2_2;valid;r2_param_hat;nse_param_hat;rmse_param_hat;nrmse_param_hat;mae_param_hat;bias_param_hat;r2_param_tilde;nse_param_tilde;rmse_param_tilde;nrmse_param_tilde;mae_param_tilde;bias_param_tilde;h_hat;rel_std_Q
23214100101;8.157068356123098;29.62459696199696;29.61440220502712;231.19152914872623;-2.4864940039755754;0.0095850104455553;158.56150197749025;1.5772294255869156e-05;2.8421709430404014e-14;0.0400960304850255;1.649923656557755e-16;172.26075471698115;0.0003933629854396;411.0699133931333;0.9999538017248968;0.9999538017248968;732;0.9996740460094705;0.999632812012431;4.2071892654863365;0.010234729247778159;1.821598378039301;0.1722287527693045;0.9996740460094703;0.9996269121158929;4.240854672261291;0.01031662628202488;1.7957929589617951;0.31363158905946487;2.2625758941238137;0.5341117420647971
23214100111;10.366732113834985;31.91199507495663;31.92054116791168;288.51896688705926;-2.5087304043664056;0.0096474731541119;191.70431650725388;4.315386063762841e-06;2.8421709430404014e-14;0.023359512743011;1.5223369824974411e-16;186.69788461538465;0.0001847378458291;411.0974180327868;0.9999567694286616;0.9999567694286616;732;0.9996906267287338;0.9996870456565148;3.8878133851026715;0.009457158363355622;1.5387756684537974;0.06741448905929916;0.999690626728734;0.9996860282400086;3.894127909806487;0.00947251852964913;1.5521455843673817;-0.042660127377207126;2.572194561195047;0.5345891865267697
23214100121;12.52033097081958;31.502530193154133;31.48448765579842;248.46129839254013;-2.451335517704432;0.0096855330211033;172.48700358004606;3.0206386903850856e-06;2.8421709430404014e-14;0.0126613767398462;1.7897036387058822e-16;158.80679245283022;0.0002385711090073;411.15185947004846;0.999941043658196;0.999941043658196;732;0.9995379991733528;0.9994938484037201;4.950620576469558;0.012040856589705391;2.0131614601826326;-0.20062192994627484;0.9995379991733522;0.99950190922468;4.911041300856387;0.01194459221754814;2.004565885469348;0.03497319420780918;2.6506945670955417;0.5352011998867383
23214100131;16.206521396920724;31.004273632902667;31.039066669154305;230.20675542737732;-2.5011993455976738;0.0098808855118511;158.90079411545312;3.5331469731956592e-06;2.8421709430404014e-14;0.010639537962686;1.7425691496588446e-16;163.1023333333333;0.0003320771057527;411.2185025045537;0.9999516600830044;0.9999516600830044;732;0.9996493318125663;0.9996488284991017;4.129492582718278;0.010042088470162037;1.6198876611716841;0.1266884796345088;0.999649331812567;0.9996446597889206;4.153930600182664;0.010101516772428461;1.7250082531478161;-0.33463928948122856;2.385665131764908;0.5358761287198982
23214100141;20.52474860111921;30.491021172083396;30.474688586098324;221.93244119796256;-2.4917699883626288;0.0096043456061999;150.36746637579606;4.451232538309053e-06;2.8421709430404014e-14;0.0122355810634215;1.8568594327231e-16;153.0633333333333;0.0003637941275724;411.2595500910747;0.9999555456332946;0.9999555456332946;732;0.9996163578818078;0.9996156986507344;4.326639529411559;0.01052045971565502;1.596636529273222;0.06480979308971443;0.9996163578818089;0.99961464076968;4.332590490103329;0.010534929800764174;1.5883148361847486;0.2850672063991528;2.432325884103042;0.5366594276006734
23214200031;25.614554324188276;29.256521171000017;29.260499424425436;45.5720998476082;-0.295045757288973;0.0090467652973856;71.26688867052135;4.869183868817432e-05;0.0;0.1380008653038325;0.0;100.04341176470588;0.0003528371983825;82.0169138540662;0.9995575979748388;0.999557445000418;732;0.9998405764165961;0.9998245273871383;0.9674897108527687;0.011796221844853077;0.5683314285120022;0.1637336073489916;0.9998405764165974;0.999826068931475;0.9632305894031764;0.011744292050747795;0.563782273327818;0.15260334709710793;1.1678828866105169;0.8905088912292192
23214200051;29.88920360250166;31.244380139599198;31.244784661636736;37.00653105667424;-0.2934797405206886;0.0090936390524618;62.8406160585564;4.756499587052567e-06;1.4210854715202004e-14;0.0100566055202338;1.5569015249347323e-16;91.27651612903227;0.0004729726722881;82.0131272474881;0.9999735354251892;0.9999735354251892;732;0.9996422842386852;0.9992287599958184;2.0293689078120067;0.024744440017365175;0.7170912396959165;-0.3039910082319736;0.9996422842386852;0.9992281126695788;2.0302203860824113;0.024754822236638867;0.7170383047536283;-0.3050567707227733;1.0938974376945165;0.8910105693094494
23214200071;35.95745080139804;30.905354903107508;30.907369224447603;43.86796201617414;-0.2836058643202848;0.0087639531776117;71.92755209143678;1.2663157482925228e-05;0.0;0.0300968714659362;0.0;120.40063829787232;0.0004207466379772;82.0446289966283;0.9999900566626432;0.9999900566626432;732;0.999936896407845;0.9999360044255504;0.5852470581570419;0.007133276916653413;0.22309703745583268;0.0285323420983839;0.9999368964078446;0.9999359396075074;0.5855433674614471;0.007136888479141157;0.2237640541895112;0.023186770942820126;0.9617516629864713;0.8916904449662331
23214200081;37.85881282326985;30.559798667769577;30.56222849566724;55.54729082948732;-0.2871505888140055;0.009080327892051;81.57766116702221;2.6134335847011514e-05;1.4210854715202004e-14;0.1692279008780804;1.6096396925331207e-16;88.28593617021279;0.000154432783905;82.03865088361819;0.9999731070968106;0.9999731070968106;732;0.9997027582741231;0.9994289537240562;1.750866486412617;0.021341970736408554;0.7171652868343018;-0.23102987935803435;0.9997027582741231;0.9994257515120678;1.755768722764951;0.021401725940809566;0.7172206655263142;-0.23757119095576532;1.55319134558574;0.8930974888595847
23214200091;40.81305462379188;28.96503164195648;28.96147617578437;33.36973034427315;-0.2920447192862889;0.0090530254952212;61.40171887161673;3.498555284002083e-05;1.4210854715202004e-14;0.0672448951922097;1.8970479373347327e-16;74.91036170212764;0.0005202707616692;81.98691678293221;0.9999068079828048;0.9999068079828048;732;0.9997207773542199;0.9997066162830253;1.257681229863142;0.015340023496589911;0.6749142306752047;0.072318644362983;0.999720777354219;0.9997054245461953;1.2602330177889862;0.01537114782747066;0.6738227428074189;0.08237368543056306;1.2651313791907395;0.8955874963304457
